id,name,forme,type1,type2,hp,atk,def,spa,spd,spe,ability0,ability1,abilityH,kind,heightm,weightkg,signatureMove,description1,description2,prevo,evo,evoMethod
marracacha,Marracacha,,Normal,Ground,95,65,100,65,80,35,Thick Fat,Seed Sower,Gluttony,Doughy,1.1,78,Oven Bake,"The massive, deep-grooved loaf of bread on its back acts as a rock-hard shield. When threatened, it tucks its body tightly beneath this heavy armor and rolls edge-over-edge like a runaway millstone to flatten enemies.","The white dust on its face is actually an incredibly fine, dry mountain clay. It uses its internal body heat to kiln-bake its dense shell, venting out hot, yeasty-smelling steam from small indentations along its back when it exerts itself.",panacha,,Level 18
grismirk,Grismirk,,Dark,,45,60,35,35,35,70,Rivalry,,Moxie,Grison,0.4,4.2,,"It picks fights with Pokémon far bigger than itself and wears a smug grin the whole time. The tougher the opponent, the more it seems to enjoy the scrap.","It hides in the thorny brush of the dry hills, darting out to nip at larger Pokémon before scampering off. Trainers know it by its cheeky gold-eyed smirk.",,grimson,
grimson,Grimson,,Dark,,66,100,56,55,54,109,Underdog,,Moxie,Grison,1,23.5,,"It puffs its pale mane up around its head like a hood before a battle. It never backs down from a bigger foe, and it wins far more often than its size suggests.","Quick, clever, and full of nerve, it thrives on being underestimated. It loves nothing more than toppling an opponent twice its size and strutting off.",grismirk,,
cackloon,Cackloon,,Ghost,Flying,70,50,50,72,73,55,Early Bird,Unnerve,Mummy,Deception,0.26,5,,They have uniquely evolved to resemble a human head to frighten others. They are said to lure travelers to their doom by mimicking human laughter.,"Cackloon enjoy mimicking human laughter, and will often gather in groups to cackle together. To avoid being attacked by Cackloon, it is best to join in on their revelry.",,necrondor,
necrondor,Necrondor,,Ghost,Flying,100,60,70,100,105,75,Ill Omen,Unnerve,Mummy,Deception,1,15,,"Necrondor are long-lived and their bones are said to grant eternal life. Many ancient funerary sites are said to be guarded by Necrondor, who will attack anyone who tries to steal from them.","Its tattered wings protect it from the chilling winds of the mountains they call home. They stand still for hours, watching the land with their hypnotic gaze.",cackloon,,
peppilla,Peppilla,,Fire,Bug,45,40,50,55,45,40,Flame Body,Shield Dust,Compound Eyes,Smoky Pepper,0.3,2.5,,"Peppilla curl around their own tail to mimic ripening peppers, hiding among crops in mountain fields. Farmers consider one in the harvest a sign of a flavorful year.",Its body builds up a fiery oil as it feeds. Predators that bite a Peppilla are met with a searing taste they never forget.,,peppyre,
peppyre,Peppyre,,Fire,Bug,45,45,85,65,80,35,Flame Body,Shield Dust,Compound Eyes,Smoky Pepper,0.6,12,,"Peppyre seals itself in a hardened shell and slowly smolders from within, curing its own body like a smoked pepper. The plume rising from its back carries a rich, spicy aroma for miles.",It barely moves while its inner fire dries and toughens its shell. Mountain villagers once gathered the fragrant ash it sheds to season their food.,peppilla,pepperisher,
pepperisher,Pepperisher,,Fire,Bug,45,75,70,115,90,90,Spicy Spray,Shield Dust,Tinted Lens,Smoky Pepper,1.4,22,,"Pepperisher scatters burning spice from its wings as it flies, said to be the ground remains of its old shell. A single flake on the tongue can leave a person breathless for days.","Its bleached mask is the husk of its pupal shell. It descends silently on those who steal from pepper fields, leaving nothing behind but a scorching haze.",peppyre,,
sedimentaldormant,Sedimental-Dormant,,Rock,Grass,85,81,111,31,98,44,Cloudburst,,,Desert Bloom,0.7,50,,Rain is so scarce in the desert where Sedimental live that many go their entire lives without opening their petals. Tourists will gather in the rain to see such a rare sight.,"Its said that Sedimental is the reincarnation of two lovers who were tragically separated. It constantly searches for its better half, crying in the desert rain.",,,
sedimentalbloom,Sedimental-Bloom,Bloom,Rock,Grass,85,31,98,131,161,44,Cloudburst,,,Desert Bloom,0.8,50,,Rain is so scarce in the desert where Sedimental live that many go their entire lives without opening their petals. Tourists will gather in the rain to see such a rare sight.,"Its said that Sedimental is the reincarnation of two lovers who were tragically separated. It constantly searches for its better half, crying in the desert rain.",,,
amistaphore,Amistaphore,,Grass,Fairy,95,70,105,100,120,40,Pacifism,Effect Spore,Rain Dish,Illuminating,3,111.2,Strength Sap,"Its spores have a calming effect on those around it, making them lose the will to fight. Too much exposure can lead to losing one's memory and sense of self.",Amistaphore lets off minor radio signals that can reach across the region. People and Pokémon who are sensitive to the signals are drawn to Amistaphore and will feel a sense of calm and happiness when near it.,shiinotic,,Shiny Stone
